Channel,Duration,Recovered,Start,End,Category,Subs_start,Activity_start,Views_start
UCk2AmH3fTDejU-TC7I22Ocw,9,True,223,232,People & Blogs,6419.744791666668,0,7872177.276041668
UCDsovpx09ZjIfJv2olmnUtg,13,True,118,131,Comedy,268521.0,0,8615416.5
UCfUDAGCLaeXfkvr6g_LcQtA,11,True,210,221,People & Blogs,35867.963541666664,4,576088.6770833335
UCe3gn2zgusqS3z40Qjc-aYw,8,True,214,222,Entertainment,19865.466666666667,2,1098490.7777777778
UC7kAoVW6URSd-JAGOBgsB2g,21,False,126,147,People & Blogs,1674.111111111111,13,211671.11111111112
UCULDGZH6PVfiL1rQRR3cx2A,9,True,124,133,Comedy,238448.0,0,304371452.0
UC_WCJTELOne2MrZOSVa0QRQ,16,False,137,153,Comedy,11444.909090909092,0,7253294.454545454
UCz0QOW_QanAi_9hggWW5z9A,12,True,199,211,People & Blogs,191729.29166666663,3,8313697.963541668
UCKDd9jTz3afrtxVgt5HZ7Qg,39,False,153,192,Howto & Style,26642.05729166667,1,5279156.78125
UCix-DHWEorz7tLESScP9Rrg,10,True,197,207,Entertainment,657895.375,2,139235429.875
UCm99c6g9MKBL4lNTlWrjyFQ,16,False,120,136,Gaming,14923.75,14,3845134.75
UCtYzVCmNxrshH4_bPO_-Y-A,14,True,226,240,Education,219405.91666666663,2,10765937.71875
UCKV5TMjUlLih4Hmo9ovimWQ,14,True,121,135,Entertainment,44.0,0,4497.5
UCHlx3w-Tk5PNql5dPbDX3oA,10,True,94,104,Entertainment,1569.0,22,1790840.901554404
UCEgha9T9rYTQkaonunwgx_A,14,True,142,156,Comedy,23715.33333333333,1,3907975.111111112
UC0G1xkeFjPi2SHEYab6sl6A,14,True,114,128,Nonprofits & Activism,2473.125,0,252799.625
UCK_-5lg2RxiicNpZtDS9RdA,22,False,195,217,Gaming,91892.66666666669,2,13327295.777777778
UCDG9Crwr8jyqs0tdi6_plpA,14,True,95,109,People & Blogs,8709.088541666666,1,343621.75
UCf81GKYQCOnCaLtkR_0qZoA,19,False,219,238,Entertainment,11345.75,0,525041.5260416665
UC2dvJJwveGTPM9CXLnSLPqA,19,False,103,122,Science & Technology,13781.098958333336,0,1932994.109375
UCLDnEn-TxejaDB8qm2AUhHQ,11,True,147,158,People & Blogs,2015.234375,0,70450.3125
UCMmU0XaR0coor7dtJkEAh4A,13,True,199,212,Gaming,38826.514522821584,1,33064020.2033195
UCXC8u02uEMREUbaEOnSgE0A,9,True,87,96,Entertainment,2164.75,0,368903.875
UCrRJHNCbWFAi57b8btuArPA,14,True,193,207,People & Blogs,46099.5,0,21863050.5
UCbutErGgIR0vcyY7FRuRYBQ,13,True,232,245,Film and Animation,44952.0,0,43966368.875
UCcyEqJXaEv5IqSyzxxZNGxw,9,True,168,177,Gaming,19918.74869109948,12,3777230.308900524
UCvyNSMTGBRodeofp4Oef60A,15,True,99,114,Gaming,14196.065277777778,1,3889663.7388888886
UCf4AMApC7Q9TUX6qHRnuZkA,15,True,167,182,Gaming,4511.464435146443,1,385296.984375
UCoeyJA5ukTnLca8NijjxYHQ,18,False,108,126,Gaming,1460.1170634920636,3,34152.17857142857
UCLt1h4r2RaDFc4J1fujvCGg,26,False,150,176,Gaming,2211.1875,13,250699.63541666663
UCMnfZpijFtUAgxYNb6m3Q9g,17,False,129,146,Comedy,37416.0,3,17160375.875
UCk1gy8qC5Ug-YJ8OZh8iGGg,8,True,157,165,People & Blogs,40702.911458333336,0,2656569.265625
UCYix07XI5qVGJXyBz69jwug,40,False,158,198,Gaming,11772.354166666664,9,3297678.072916666
UCoAQUWy5T-Z9Nb8UVEwZDLw,32,False,195,227,Comedy,84286.25,11,3640354.875
UCee2fDvrAwfR91nHxF1I3cw,22,False,173,195,Music,10270.333333333334,0,593877.4166666665
UCu2s4d3zNE1ITF0c-c0V_Wg,8,True,169,177,Music,52846.5,0,14496946.0
UCEuElU4CivqJ7uAA7pUA9BQ,16,False,182,198,Gaming,20340.338541666668,4,1508232.645833333
UCW2gD_xT_2y_MQLEZCFDy0Q,25,False,116,141,Gaming,22513.0,5,1624290.0
UCKNB4IsrUR_J22PEv8BnCFg,24,False,135,159,Howto & Style,15569.666666666664,2,274647.33333333326
UC1b-djG5qTbl-r5Iwa09V6w,16,False,207,223,People & Blogs,538948.3125,1,47107131.75520834
UCiMgF08KQ4z-Gnu8o2BLOxA,11,True,199,210,Education,58716.44559585492,2,1700052.2227979274
UCjQG1tv6johDz6qEuaHk6QQ,21,False,209,230,People & Blogs,346886.44791666674,1,53378810.36979166
UC_1paC00tsyKbuEvq8AFeOg,17,False,160,177,Sports,898.2840909090909,0,1382025.8484848484
UCZVhGARjh1xLpB8UfWChkQQ,27,False,138,165,People & Blogs,96948.0,0,7938503.0
UCCdgo3EPN-pZrX-Ass_Ha4A,11,True,212,223,Gaming,14246.675925925923,12,1447086.4074074074
UCiuDDoS46_7myy7rMAjOSGA,14,True,192,206,Gaming,10741.333333333334,1,24369.41666666667
UCwr2b6lSuU2uWIrCGj32F9g,18,False,136,154,People & Blogs,6615.8,0,416914.8
UCNdsCa4JmBXRHzXmLh6ZDHg,14,True,135,149,Music,7516.560606060605,1,2229850.93939394
UCy5z4ZzznNEos3ypvnyBNnA,8,True,236,244,Entertainment,11562.75,0,5988255.625
UCZ90olLbHKEoi6A0mA_lGhg,16,False,103,119,Sports,11194.557291666664,3,1763663.114583333
UC6_A-efY4Fkt1cKMjWb77Nw,21,False,180,201,Film and Animation,6099.0173611111095,1,324187.33333333326
UCdoS6PgAhnLFCQounPHwQ3A,9,True,201,210,Music,23781.16145833333,5,5797169.447916668
UCAtZ2pVB9hdMnxCFIVz8zNA,8,True,207,215,Gaming,82232.0,4,982656.875
