,Recovered,Posted_more,Posted_less,Posted_longer_videos,Posted_shorter_videos,Topic_change
Recovered,1.0,0.06654822903154149,-0.14342464352857573,-0.001292428403559326,-0.001773135533948137,-0.014717142527443732
Posted_more,0.06654822903154149,1.0,-0.2748577819366793,0.08951920681047991,0.00971660931806687,0.04618846212423344
Posted_less,-0.14342464352857573,-0.2748577819366793,1.0,0.013645671056431802,0.08802964076419535,0.04481070621715893
Posted_longer_videos,-0.001292428403559326,0.08951920681047991,0.013645671056431802,1.0,-0.1305362829783386,0.08879668637554033
Posted_shorter_videos,-0.001773135533948137,0.00971660931806687,0.08802964076419535,-0.1305362829783386,1.0,0.08797046438915566
Topic_change,-0.014717142527443732,0.04618846212423344,0.04481070621715893,0.08879668637554033,0.08797046438915566,1.0
