Variable,Coefficient,p-value
const,-0.18667938905658377,2.688659383097408e-22
Subs_start,4.3976712728244793e-08,0.08369841684587367
Activity_start,0.0008830755241522758,0.3152852705425534
Views_start,-8.470784487781106e-11,0.24491938653379708
Posted_longer_videos,0.0027079392088112547,0.9383222116555302
Posted_shorter_videos,0.0843760330556193,0.06616900376701175
Posted_more,0.1481154230769633,2.6296045184276295e-06
Posted_less,-0.6959378160928292,5.440861981049118e-99
Topic_Change,-0.04713303944307301,0.10554127388119945
