channel	week
UC-lHJZR3Gqxm24_Vd_AJ5Yw	95
UC-lHJZR3Gqxm24_Vd_AJ5Yw	104
UC-lHJZR3Gqxm24_Vd_AJ5Yw	112
UC-lHJZR3Gqxm24_Vd_AJ5Yw	130
UC-lHJZR3Gqxm24_Vd_AJ5Yw	137
UC-lHJZR3Gqxm24_Vd_AJ5Yw	147
UC-lHJZR3Gqxm24_Vd_AJ5Yw	162
UC-lHJZR3Gqxm24_Vd_AJ5Yw	194
UC-lHJZR3Gqxm24_Vd_AJ5Yw	215
UC-lHJZR3Gqxm24_Vd_AJ5Yw	222
UC-lHJZR3Gqxm24_Vd_AJ5Yw	244
UC0v-tlzsn0QZwJnkiaUSJVQ	97
UC0v-tlzsn0QZwJnkiaUSJVQ	99
UC0v-tlzsn0QZwJnkiaUSJVQ	102
UC0v-tlzsn0QZwJnkiaUSJVQ	108
UC0v-tlzsn0QZwJnkiaUSJVQ	111
UC0v-tlzsn0QZwJnkiaUSJVQ	116
UC0v-tlzsn0QZwJnkiaUSJVQ	125
UC0v-tlzsn0QZwJnkiaUSJVQ	132
UC0v-tlzsn0QZwJnkiaUSJVQ	134
UC0v-tlzsn0QZwJnkiaUSJVQ	141
UC0v-tlzsn0QZwJnkiaUSJVQ	147
UC0v-tlzsn0QZwJnkiaUSJVQ	157
UC0v-tlzsn0QZwJnkiaUSJVQ	159
UC0v-tlzsn0QZwJnkiaUSJVQ	163
UC0v-tlzsn0QZwJnkiaUSJVQ	171
UC0v-tlzsn0QZwJnkiaUSJVQ	179
UC0v-tlzsn0QZwJnkiaUSJVQ	193
UC0v-tlzsn0QZwJnkiaUSJVQ	205
UC0v-tlzsn0QZwJnkiaUSJVQ	208
UC0v-tlzsn0QZwJnkiaUSJVQ	213
UC0v-tlzsn0QZwJnkiaUSJVQ	229
UC0v-tlzsn0QZwJnkiaUSJVQ	233
UC1r4VtVE__5K6c_L_3Vlxxg	95
UC1r4VtVE__5K6c_L_3Vlxxg	104
UC1r4VtVE__5K6c_L_3Vlxxg	119
UC1r4VtVE__5K6c_L_3Vlxxg	128
UC1r4VtVE__5K6c_L_3Vlxxg	134
UC1r4VtVE__5K6c_L_3Vlxxg	147
UC1r4VtVE__5K6c_L_3Vlxxg	151
UC1r4VtVE__5K6c_L_3Vlxxg	158
UC1r4VtVE__5K6c_L_3Vlxxg	166
UC1r4VtVE__5K6c_L_3Vlxxg	179
UC1r4VtVE__5K6c_L_3Vlxxg	185
UC1r4VtVE__5K6c_L_3Vlxxg	191
UC1r4VtVE__5K6c_L_3Vlxxg	201
UC1r4VtVE__5K6c_L_3Vlxxg	216
UC1r4VtVE__5K6c_L_3Vlxxg	226
UC1r4VtVE__5K6c_L_3Vlxxg	232
UC1r4VtVE__5K6c_L_3Vlxxg	239
UC2e0bNZ6CzT-Xvr070VaGsw	95
UC2e0bNZ6CzT-Xvr070VaGsw	100
UC2e0bNZ6CzT-Xvr070VaGsw	107
UC2e0bNZ6CzT-Xvr070VaGsw	113
UC2e0bNZ6CzT-Xvr070VaGsw	131
UC2e0bNZ6CzT-Xvr070VaGsw	134
UC2e0bNZ6CzT-Xvr070VaGsw	141
UC2e0bNZ6CzT-Xvr070VaGsw	148
UC2e0bNZ6CzT-Xvr070VaGsw	153
UC2e0bNZ6CzT-Xvr070VaGsw	157
UC2e0bNZ6CzT-Xvr070VaGsw	161
UC2e0bNZ6CzT-Xvr070VaGsw	171
UC2e0bNZ6CzT-Xvr070VaGsw	184
UC2e0bNZ6CzT-Xvr070VaGsw	193
UC2e0bNZ6CzT-Xvr070VaGsw	226
UC6-NBhOCP8DJqnpZE4TNE-A	95
UC6-NBhOCP8DJqnpZE4TNE-A	111
UC6-NBhOCP8DJqnpZE4TNE-A	120
UC6-NBhOCP8DJqnpZE4TNE-A	130
UC6-NBhOCP8DJqnpZE4TNE-A	147
UC6-NBhOCP8DJqnpZE4TNE-A	152
UC6-NBhOCP8DJqnpZE4TNE-A	160
UC6-NBhOCP8DJqnpZE4TNE-A	165
UC6-NBhOCP8DJqnpZE4TNE-A	175
UC6-NBhOCP8DJqnpZE4TNE-A	185
UC6-NBhOCP8DJqnpZE4TNE-A	205
UC6-NBhOCP8DJqnpZE4TNE-A	234
UC6-NBhOCP8DJqnpZE4TNE-A	243
UC6-NBhOCP8DJqnpZE4TNE-A	246
UCAq9s3QQVCDMvg1iWQBVtxQ	95
UCAq9s3QQVCDMvg1iWQBVtxQ	107
UCAq9s3QQVCDMvg1iWQBVtxQ	112
UCAq9s3QQVCDMvg1iWQBVtxQ	134
UCAq9s3QQVCDMvg1iWQBVtxQ	150
UCAq9s3QQVCDMvg1iWQBVtxQ	164
UCAq9s3QQVCDMvg1iWQBVtxQ	173
UCAq9s3QQVCDMvg1iWQBVtxQ	190
UCAq9s3QQVCDMvg1iWQBVtxQ	213
UCAq9s3QQVCDMvg1iWQBVtxQ	237
UCAq9s3QQVCDMvg1iWQBVtxQ	241
UCBHu7LsKiwiYViR230RtsCA	95
UCBHu7LsKiwiYViR230RtsCA	104
UCBHu7LsKiwiYViR230RtsCA	108
UCBHu7LsKiwiYViR230RtsCA	125
UCBHu7LsKiwiYViR230RtsCA	144
UCBHu7LsKiwiYViR230RtsCA	147
UCBHu7LsKiwiYViR230RtsCA	152
UCBHu7LsKiwiYViR230RtsCA	157
UCBHu7LsKiwiYViR230RtsCA	172
UCBHu7LsKiwiYViR230RtsCA	179
UCBHu7LsKiwiYViR230RtsCA	193
UCBHu7LsKiwiYViR230RtsCA	222
UCBHu7LsKiwiYViR230RtsCA	226
UCBHu7LsKiwiYViR230RtsCA	231
UCBHu7LsKiwiYViR230RtsCA	241
UCBHu7LsKiwiYViR230RtsCA	245
UCDsO-0Yo5zpJk575nKXgMVA	94
UCDsO-0Yo5zpJk575nKXgMVA	99
UCDsO-0Yo5zpJk575nKXgMVA	108
UCDsO-0Yo5zpJk575nKXgMVA	114
UCDsO-0Yo5zpJk575nKXgMVA	119
UCDsO-0Yo5zpJk575nKXgMVA	129
UCDsO-0Yo5zpJk575nKXgMVA	134
UCDsO-0Yo5zpJk575nKXgMVA	157
UCDsO-0Yo5zpJk575nKXgMVA	174
UCDsO-0Yo5zpJk575nKXgMVA	186
UCDsO-0Yo5zpJk575nKXgMVA	194
UCDsO-0Yo5zpJk575nKXgMVA	208
UCDsO-0Yo5zpJk575nKXgMVA	215
UCDsO-0Yo5zpJk575nKXgMVA	219
UCDsO-0Yo5zpJk575nKXgMVA	223
UCDsO-0Yo5zpJk575nKXgMVA	227
UCDsO-0Yo5zpJk575nKXgMVA	235
UCDsO-0Yo5zpJk575nKXgMVA	243
UCEHf6KUY7Zw7hlXQ7hDemwQ	95
UCEHf6KUY7Zw7hlXQ7hDemwQ	119
